,종목코드,종목명,ROE,GPA,CFO
44,000970,한국주철관,0.0408,0.1687,0.0757
65,001390,KG케미칼,0.1845,0.1834,0.0352
86,001770,SHD,0.0522,0.0929,0.0668
94,001940,KISCO홀딩스,0.0943,0.1289,0.0466
141,003030,세아제강지주,0.196,0.236,0.1282
224,005010,휴스틸,0.2063,0.2403,0.0811
301,007280,한국특강,0.174,0.1197,0.0529
327,008260,NI스틸,0.2831,0.2566,0.251
362,009520,포스코엠텍,0.026,0.111,0.0835
492,016380,KG스틸,0.2983,0.1286,0.1494
511,017480,삼현철강,0.0647,0.1008,0.1429
1048,060380,동양에스텍,0.0815,0.1531,0.0803
1156,069730,DSR제강,0.0898,0.1572,0.1471
1266,084010,대한제강,0.1206,0.1873,0.1151
1274,084690,대상홀딩스,0.0378,0.3073,0.0561
1461,104700,한국철강,0.1137,0.1475,0.0507
1531,120030,조선선재,0.0643,0.1124,0.1078
1677,162300,신스틸,0.0577,0.1556,0.0812
1986,263770,유에스티,0.171,0.2079,0.1383
2114,306200,세아제강,0.1879,0.2257,0.0916
