2023,09,926
2023,08,870
2023,07,865
2023,06,948
2023,05,1013
2023,04,1055
2023,03,1050
2023,02,1050
2023,01,1050
2022,12,1050
2022,11,1100
2022,10,1200
2022,09,1130
2022,08,1010
2022,07,1144
2022,06,1250
2022,05,1338
2022,04,1392
2022,03,1283
2022,02,1148
2022,01,1125
2021,12,1172
2021,11,1248
2021,10,1296
2021,09,1320
2021,08,1315
2021,07,1300
2021,06,1300
2021,05,1225
2021,04,1020
2021,03,922
2021,02,890
2021,01,875
2020,12,776
2020,11,710
2020,10,698
2020,09,688
2020,08,680
2020,07,670
2020,06,665
2020,05,660
2020,04,675
2020,03,700
2020,02,710
2020,01,702
2019,12,698
2019,11,690
2019,10,706
2019,09,728
2019,08,726
2019,07,720
2019,06,735
2019,05,734
2019,04,735
2019,03,726
2019,02,714
2019,01,706
2018,12,720
2018,11,736
2018,10,740
2018,09,740
2018,08,730
2018,07,740
2018,06,750
2018,05,750
2018,04,758
2018,03,780
2018,02,780
2018,01,808
2017,12,774
2017,11,763
2017,10,793
2017,09,790
2017,08,728
2017,07,678
2017,06,650
2017,05,693
2017,04,750
2017,03,766
2017,02,758
2017,01,773
2016,12,702
2016,11,618
2016,10,600
2016,09,592
2016,08,585
2016,07,588
2016,06,628
2016,05,650
2016,04,572
2016,03,525
2016,02,500
2016,01,496
2015,12,490
2015,11,498
2015,10,554
2015,09,590
2015,08,590
2015,07,590
2015,06,590
2015,05,590
2015,04,593
2015,03,613
2015,02,630
2015,01,630
2014,12,630
2014,11,643
2014,10,650
2014,09,650
2014,08,664
2014,07,683
2014,06,690
2014,05,700
2014,04,700
2014,03,700
2014,02,700
2014,01,700
2013,12,705
2013,11,726
2013,10,730
2013,09,728
2013,08,720
2013,07,728
2013,06,755
2013,05,762
2013,04,778
2013,03,796
2013,02,795
2013,01,775
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
