2023,9,50.2
2023,8,49.7
2023,7,49.3
2023,6,49
2023,5,48.8
2023,4,49.2
2023,3,51.9
2023,2,52.6
2023,1,50.1
2022,12,47
2022,11,48
2022,10,49.2
2022,9,50.1
2022,8,49.4
2022,7,49
2022,6,50.2
2022,5,49.6
2022,4,47.4
2022,3,49.5
2022,2,50.2
2022,1,50.1
2021,12,50.3
2021,11,50.1
2021,10,49.2
2021,9,49.6
2021,8,50.1
2021,7,50.4
2021,6,50.9
2021,5,51
2021,4,51.1
2021,3,51.9
2021,2,50.6
2021,1,51.3
2020,12,51.9
2020,11,52.1
2020,10,51.4
2020,9,51.5
2020,8,51
2020,7,51.1
2020,6,50.9
2020,5,50.6
2020,4,50.8
2020,3,52
2020,2,35.7
2020,1,50
2019,12,50.2
2019,11,50.2
2019,10,49.3
2019,9,49.8
2019,8,49.5
2019,7,49.7
2019,6,49.4
2019,5,49.4
2019,4,50.1
2019,3,50.5
2019,2,49.2
2019,1,49.5
2018,12,49.4
2018,11,50
2018,10,50.2
2018,9,50.8
2018,8,51.3
2018,7,51.2
2018,6,51.5
2018,5,51.9
2018,4,51.4
2018,3,51.5
2018,2,50.3
2018,1,51.3
2017,12,51.6
2017,11,51.8
2017,10,51.6
2017,9,52.4
2017,8,51.7
2017,7,51.4
2017,6,51.7
2017,5,51.2
2017,4,51.2
2017,3,51.8
2017,2,51.6
2017,1,51.3
2016,12,51.4
2016,11,51.7
2016,10,51.2
2016,9,50.4
2016,8,50.4
2016,7,49.9
2016,6,50
2016,5,50.1
2016,4,50.1
2016,3,50.2
2016,2,49
2016,1,49.4
2015,12,49.7
2015,11,49.6
2015,10,49.8
2015,9,49.8
2015,8,49.7
2015,7,50
2015,6,50.2
2015,5,50.2
2015,4,50.1
2015,3,50.1
2015,2,49.9
2015,1,49.8
2014,12,50.1
2014,11,50.3
2014,10,50.8
2014,9,51.1
2014,8,51.7
2014,7,51
2014,6,50.8
2014,5,50.4
2014,4,50.3
2014,3,50.2
2014,2,50.5
2014,1,51
2013,12,51.4
2013,11,51.4
2013,10,51.1
2013,9,51
2013,8,50.3
2013,7,50.1
2013,6,50.8
2013,5,50.6
2013,4,50.9
2013,3,50.1
2013,2,50.4
2013,1,50.6
